tick,sirstate,n
1264.1,2,10000
1265.1,2,10000
1266.1,2,10000
1267.1,2,10000
1268.1,2,10000
1269.1,2,10000
1270.1,2,10000
1271.1,2,10000
1272.1,2,10000
1273.1,2,10000
1274.1,2,10000
1275.1,2,10000
1276.1,2,10000
1277.1,2,10000
1278.1,2,10000
1279.1,2,10000
1280.1,2,10000
1281.1,2,10000
1282.1,2,10000
1283.1,2,10000
1284.1,2,10000
1285.1,2,10000
1286.1,2,10000
1287.1,2,10000
1288.1,2,10000
1289.1,2,10000
1290.1,2,10000
1291.1,2,10000
1292.1,2,10000
1293.1,2,10000
1294.1,2,10000
1295.1,2,10000
1296.1,2,10000
1297.1,2,10000
1298.1,2,10000
1299.1,2,10000
1300.1,2,10000
1301.1,2,10000
1302.1,2,10000
1303.1,2,10000
1304.1,2,10000
1305.1,2,10000
1306.1,2,10000
1307.1,2,10000
1308.1,2,10000
1309.1,2,10000
1310.1,2,10000
1311.1,2,10000
1312.1,2,10000
1313.1,2,10000
1314.1,2,10000
1315.1,2,10000
1316.1,2,10000
1317.1,2,10000
1318.1,2,10000
1319.1,2,10000
1320.1,2,10000
1321.1,2,10000
1322.1,2,10000
1323.1,2,10000
1324.1,2,10000
1325.1,2,10000
1326.1,2,10000
1327.1,2,10000
1328.1,2,10000
1329.1,2,10000
1330.1,2,10000
1331.1,2,10000
1332.1,2,10000
1333.1,2,10000
1334.1,2,10000
1335.1,2,10000
1336.1,2,10000
1337.1,2,10000
1338.1,2,10000
1339.1,2,10000
1340.1,2,10000
1341.1,2,10000
1342.1,2,10000
1343.1,2,10000
1344.1,2,10000
1345.1,2,10000
1346.1,2,10000
1347.1,2,10000
1348.1,2,10000
1349.1,2,10000
1350.1,2,10000
1351.1,2,10000
1352.1,2,10000
1353.1,2,10000
1354.1,2,10000
1355.1,2,10000
1356.1,2,10000
1357.1,2,10000
1358.1,2,10000
1359.1,2,10000
1360.1,2,10000
1361.1,2,10000
1362.1,2,10000
1363.1,2,10000
1364.1,2,10000
1365.1,2,10000
1366.1,2,10000
1367.1,2,10000
1368.1,2,10000
1369.1,2,10000
1370.1,2,10000
1371.1,2,10000
1372.1,2,10000
1373.1,2,10000
1374.1,2,10000
1375.1,2,10000
1376.1,2,10000
1377.1,2,10000
1378.1,2,10000
1379.1,2,10000
1380.1,2,10000
1381.1,2,10000
1382.1,2,10000
1383.1,2,10000
1384.1,2,10000
1385.1,2,10000
1386.1,2,10000
1387.1,2,10000
1388.1,2,10000
1389.1,2,10000
1390.1,2,10000
1391.1,2,10000
1392.1,2,10000
1393.1,2,10000
1394.1,2,10000
1395.1,2,10000
1396.1,2,10000
